Names,data1.txt,virat_kholi.txt
understanding,1,1
quotes,1,1
life,1,0
understood,1,0
backwards,1,0
must,1,0
lived,1,0
forwardsany,1,0
fool,1,0
know,1,0
beautiful,1,0
people,1,1
known,1,0
defeat,1,0
suffering,1,0
struggle,1,0
loss,1,0
found,1,1
way,1,0
depths,1,0
sachin,1,0
tendulkar,1,0
born,1,1
april,1,0
bombay,1,0
indiaintroduced,1,0
cricket,1,1
age,1,1
became,1,1
indias,1,0
youngest,1,0
test,1,1
cricketerin,1,0
first,1,1
cricketer,1,1
score,1,0
centuries,1,1
runs,1,1
single,1,0
inning,1,0
play,1,0
kapil,1,0
dev,1,0
ram,1,0
lal,1,0
nikhanj,1,0
january,1,0
former,1,0
indian,1,1
cricketerhe,1,0
fast,1,0
bowler,1,0
hard,1,0
hitting,1,0
middle,1,0
order,1,0
batsman,1,1
regarded,1,1
one,1,1
greatest,1,0
allrounders,1,0
game,1,0
also,1,1
captains,1,1
history,1,0
virat,0,1
kohli,0,1
soundpronunciation,0,1
helpinfo,0,1
november,0,1
currently,0,1
india,0,1
national,0,1
team,0,1
righthanded,0,1
toporder,0,1
best,0,1
batsmen,0,1
world,0,1
plays,0,1
royal,0,1
challengers,0,1
bangalore,0,1
premier,0,1
league,0,1
ipl,0,1
teams,0,1
captain,0,1
since,0,1
october,0,1
topranked,0,1
odi,0,1
st,0,1
rankings,0,1
points,0,1
among,0,1
ever,0,1
rating,0,1
ti,0,1
captained,0,1
unders,0,1
victory,0,1
cup,0,1
malaysia,0,1
months,0,1
later,0,1
made,0,1
debut,0,1
sri,0,1
lanka,0,1
initially,0,1
played,0,1
reserve,0,1
soon,0,1
established,0,1
regular,0,1
middleorder,0,1
part,0,1
squad,0,1
shrugged,0,1
tag,0,1
specialist,0,1
hundreds,0,1
australia,0,1
south,0,1
africa,0,1
reached,0,1
number,0,1
spot,0,1
icc,0,1
time,0,1
success,0,1
twenty,0,1
format,0,1
winning,0,1
man,0,1
tournament,0,1
twice,0,1
appointed,0,1
vicecaptain,0,1
handed,0,1
captaincy,0,1
following,0,1
mahendra,0,1
singh,0,1
dhonis,0,1
retirement,0,1
early,0,1
limitedovers,0,1
well,0,1
dhoni,0,1
stepped,0,1
position,0,1
odis,0,1
second,0,1
highest,0,1
runchases,0,1
holds,0,1
record,0,1
fastest,0,1
reaching,0,1
milestones,0,1
innings,0,1
respectively,0,1
recipient,0,1
many,0,1
awards,0,1
sir,0,1
garfield,0,1
sobers,0,1
trophy,0,1
year,0,1
player,0,1
wisden,0,1
leading,0,1
given,0,1
arjuna,0,1
award,0,1
padma,0,1
shri,0,1
sports,0,1
category,0,1
rajiv,0,1
gandhi,0,1
khel,0,1
ratna,0,1
sporting,0,1
honour,0,1
ranked,0,1
worlds,0,1
famous,0,1
athletes,0,1
espn,0,1
valuable,0,1
athlete,0,1
brands,0,1
forbes,0,1
magazine,0,1
named,0,1
influential,0,1
